module,file,blueprint,methods,route,function,action,has_jwt_required,decorators,initial_risk,notes,review_status,expected_guard,expected_scope,review_notes
Planning / Metas,backend/app/routes/planning_targets_routes.py,planning_targets_bp,POST,/batches/<int:batch_id>/publish,publish_approved_batch_to_track_route,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Planning / Metas,backend/app/routes/planning_targets_routes.py,planning_targets_bp,POST,/batches,create_target_batch_route,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Planning / Metas,backend/app/routes/planning_targets_routes.py,planning_targets_bp,POST,/batches/<int:batch_id>/branch-rows,add_branch_row_to_batch_route,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Planning / Metas,backend/app/routes/planning_targets_routes.py,planning_targets_bp,PUT,/batches/<int:batch_id>/branch-rows/<int:branch_row_id>,update_branch_row_in_batch_route,update,True,"route,jwt_required",medium_write,,pending,,,
Planning / Metas,backend/app/routes/planning_targets_routes.py,planning_targets_bp,POST,/batches/<int:batch_id>/submit,submit_target_batch_route,create/execute,True,"route,jwt_required",medium_write,,pending,,,
PM,backend/app/routes/pm_routes.py,pm_bp,POST,/mobile/bitacoras,pm_mobile_crear_bitacora,create/execute,True,"route,jwt_required",medium_write,,pending,,,
PM,backend/app/routes/pm_routes.py,pm_bp,POST,/preventivo/registrar,pm_preventivo_registrar,create/execute,True,"route,jwt_required",medium_write,,pending,,,
PM,backend/app/routes/pm_routes.py,pm_bp,POST,/validaciones,pm_crear_validacion,create/execute,True,"route,jwt_required",medium_write,,pending,,,
PM,backend/app/routes/pm_routes.py,pm_bp,POST,/configuraciones,pm_crear_configuracion,create/execute,True,"route,jwt_required",medium_write,,pending,,,
PM,backend/app/routes/pm_routes.py,pm_bp,PUT,/configuraciones/<int:config_id>,pm_actualizar_configuracion,update,True,"route,jwt_required",medium_write,,pending,,,
Reportes,backend/app/routes/reportes.py,reportes_bp,POST,/reportar-error,reportar_error,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/create,create_ticket,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,PUT,/update/<int:id>,update_ticket_status,update,True,"route,jwt_required,bloquea_lectores_globales",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/migrar-historial-local,migrar_historial_local,create/execute,True,"route,jwt_required,bloquea_lectores_globales",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,DELETE,/eliminar-todos,eliminar_todos_los_tickets,delete,True,"route,jwt_required",high_delete,,ok_hardened,_require_ticket_admin_action + ALLOW_TICKET_DELETE_ALL,ticket_admin_env_gated,Operación masiva bloqueada salvo bandera explícita.
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/notify/<int:ticket_id>,notify_ticket,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/rrhh/solicitar/<int:ticket_id>,rrhh_solicitar,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/rrhh/aprobar/<int:ticket_id>,rrhh_aprobar,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/rrhh/rechazar/<int:ticket_id>,rrhh_rechazar,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,PUT,/compromiso/<int:ticket_id>,set_compromiso,update,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/cierre/gerente-desde-cero/<int:ticket_id>,cierre_gerente_desde_cero,create/execute,True,"route,jwt_required,bloquea_lectores_globales",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/cierre/solicitar/<int:ticket_id>,cierre_solicitar,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/cierre/rechazar-jefe/<int:ticket_id>,cierre_rechazar_jefe,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/cierre/aceptar-creador/<int:ticket_id>,cierre_aceptar_creador,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Tickets,backend/app/routes/ticket_routes.py,ticket_bp,POST,/cierre/rechazar-creador/<int:ticket_id>,cierre_rechazar_creador,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Track / BI,backend/app/routes/track_routes.py,track_bp,POST,/run-daily-pipeline,run_track_daily_pipeline_endpoint,run_job,True,"route,jwt_required",high_job_or_import,,ok_hardened,_require_track_admin_role,track_admin,Admin-only; valida fecha/modo y bloquea ejecución para fechas pasadas desde este flujo.
Track / BI,backend/app/routes/track_routes.py,track_bp,POST,/run-agregadoras-integration,run_track_agregadoras_integration_endpoint,run_job,True,"route,jwt_required",high_job_or_import,,ok_hardened,_require_track_admin_role,track_admin,Admin-only; integración manual de agregadoras para la fecha solicitada.
Usuarios / Admin,backend/app/routes/usuarios_routes.py,usuarios_bp,POST,,crear_usuario,create/execute,True,"route,jwt_required",medium_write,,needs_manual_decision,_require_admin,user_admin,Guard correcto. Permite crear cualquier rol/sucursal/departamento; futuro: política granular de roles altos y catálogo de roles permitidos.
Usuarios / Admin,backend/app/routes/usuarios_routes.py,usuarios_bp,PUT,/<int:user_id>,editar_usuario,update,True,"route,jwt_required",medium_write,,needs_manual_decision,_require_admin,user_admin,Guard correcto. Permite modificar rol/sucursal/departamento/password/email; futuro: política granular para cambios sensibles y autoedición.
Usuarios / Admin,backend/app/routes/usuarios_routes.py,usuarios_bp,DELETE,/<int:user_id>,eliminar_usuario,delete,True,"route,jwt_required",high_delete,,ok_hardened,_require_admin + ALLOW_USER_HARD_DELETE,user_admin_env_gated,Hard delete bloqueado salvo bandera explícita; bloquea self-delete.
Warehouse,backend/app/routes/warehouse_routes.py,warehouse_bp,POST,/uploads,warehouse_create_upload,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Warehouse,backend/app/routes/warehouse_routes.py,warehouse_bp,PATCH,/uploads/<int:upload_id>/archive,warehouse_archive_upload,update,True,"route,jwt_required",medium_write,,pending,,,
